product_id,productId,sellPrice,sellVolume,sellMovingWeek,sellOrders,buyPrice,buyVolume,buyMovingWeek,buyOrders,midPrice
CORRUPTED_BAIT,CORRUPTED_BAIT,5.618670514774305,421029,284359,13,150.0,427852,288249,160,77.80933525738715
TARANTULA_WEB,TARANTULA_WEB,2686.995812050111,21887484,17247290,604,2950.450047610546,2870699,2015320,426,2818.722929830328
SEA_LUMIES,SEA_LUMIES,643.2086299276765,4695647,5708280,120,791.0321559431336,575358,368978,80,717.1203929354051
ARCHITECT_FIRST_DRAFT,ARCHITECT_FIRST_DRAFT,56652.9,46687,14982,138,77172.4,2384,14539,58,66912.65
RITUAL_RESIDUE,RITUAL_RESIDUE,1991002.7869047618,2992,2745,113,2316915.792,457,4317,16,2153959.289452381
ESSENCE_DRAGON,ESSENCE_DRAGON,3188.088095778198,3906600,7126463,156,3710.201171598395,5743966,7422988,497,3449.1446336882964
SHARD_SALMON,SHARD_SALMON,5095.721212121212,36673,80017,177,15175.2,8949,228356,36,10135.460606060606
GIANT_FRAGMENT_LASER,GIANT_FRAGMENT_LASER,885512.0,1794,19839,41,933998.8545454546,355,22715,27,909755.4272727272
GENERATOR_UPGRADE_STONE_REVENANT_12,GENERATOR_UPGRADE_STONE_REVENANT_12,4617502.633333333,112,8,25,9999999.8,9,46,3,7308751.216666667
ENCHANTED_BLAZE_ROD,ENCHANTED_BLAZE_ROD,250943.71656804733,22000,58200,56,259508.764764268,8995,43192,73,255226.24066615768
SHARD_MEGALITH,SHARD_MEGALITH,231053.20000000004,321,5382,11,271024.89330254047,42557,15124,343,251039.04665127024
ENCHANTED_BROWN_MUSHROOM,ENCHANTED_BROWN_MUSHROOM,1582.6303378357684,2378876,10342082,64,1774.3120603303257,1845774,699803,519,1678.471199083047
FRESHLY_MINTED_COINS,FRESHLY_MINTED_COINS,2294550.2442622953,1687,379,16,3364945.0999999996,6408,3256,47,2829747.6721311472
SHARD_CARROT_KING,SHARD_CARROT_KING,141572.4,728,783,25,215775.07388724037,16608,5978,95,178673.7369436202
ENCHANTMENT_CORRUPTION_5,ENCHANTMENT_CORRUPTION_5,9430.1,411,26,7,161997.89230769227,119,349,22,85713.99615384614
ENCHANTMENT_CORRUPTION_4,ENCHANTMENT_CORRUPTION_4,5.817647058823529,1416,13,12,99998.2,36,35,8,50002.00882352941
PROTECTOR_FRAGMENT,PROTECTOR_FRAGMENT,10824.159013753773,185015,120644,55,23670.826514327167,230329,88497,3092,17247.49276404047
ENCHANTMENT_CORRUPTION_3,ENCHANTMENT_CORRUPTION_3,0.0,0,2,0,39853.2,222,4,37,19926.6
ENCHANTMENT_CORRUPTION_2,ENCHANTMENT_CORRUPTION_2,0.0,0,0,0,9997.985714285713,180,24,21,4998.992857142856
ENCHANTMENT_CORRUPTION_1,ENCHANTMENT_CORRUPTION_1,0.0,0,3981,0,0.0,0,1906,0,0.0
ROCK_GEMSTONE,ROCK_GEMSTONE,3866106.9416666664,281,38,10,6429968.962745098,2326,866,318,5148037.952205882
SHARD_BAL,SHARD_BAL,291664.8052287582,12329,6110,201,456511.38274383714,30036,13140,410,374088.09398629767
CONDENSED_FERMENTO,CONDENSED_FERMENTO,2313163.766666666,1853,2043,73,2539999.2388888886,1219,4622,141,2426581.5027777776
DIAMOND,DIAMOND,7.943223788490395,11040571,130112260,169,8.968462818821614,6054517,4009866,171,8.455843303656005
COBBLESTONE,COBBLESTONE,0.0,0,92545777,0,2.9205431496313583,2655929,7462933,100,1.4602715748156792
END_STONE_SHULKER,END_STONE_SHULKER,100.2,2457,6314,15,3834.796875,1530,6550,53,1967.4984375
MAGMA_LORD_FRAGMENT,MAGMA_LORD_FRAGMENT,4668463.316113744,4371,2920,544,5175431.382222221,2211,4154,324,4921947.349167982
ENCHANTMENT_CAYENNE_5,ENCHANTMENT_CAYENNE_5,12000003.9,6,2,3,17645160.0,776,310,101,14822581.95
ENCHANTMENT_CAYENNE_4,ENCHANTMENT_CAYENNE_4,6283629.6,25,0,10,13999997.699999997,109,34,12,10141813.649999999
WINTER_FRAGMENT,WINTER_FRAGMENT,932258.4,347,513,4,1149998.8,259,972,17,1041128.6000000001
ENDER_MONOCLE,ENDER_MONOCLE,404.20884615384614,12547,13599,91,7237.680000000001,2146,16785,99,3820.9444230769236
KELVIN_INVERTER,KELVIN_INVERTER,94979.8353557047,140779,6471,94,100461.18536585366,1730,1528,81,97720.51036077918
REFINED_DIAMOND,REFINED_DIAMOND,628457.7352069495,61740,28524,57,656549.6734653465,13464,50765,58,642503.704336148
X,X,10504.4,26475,5815,54,27810.382439024394,6914,10877,18,19157.391219512196
Y,Y,52004.6,37859,5363,62,88194.9806004619,18541,7316,93,70099.79030023095
Z,Z,103004.65516759775,31685,3260,109,199444.1,1492,4799,27,151224.3775837989
ENCHANTMENT_CAYENNE_3,ENCHANTMENT_CAYENNE_3,0.0,0,0,0,0.0,0,0,0,0.0
PORK,PORK,23.199999999999996,157527,2401263,6,55.484267067113315,405392,1598024,44,39.342133533556655
ENCHANTMENT_CAYENNE_2,ENCHANTMENT_CAYENNE_2,0.0,0,0,0,0.0,0,0,0,0.0
ENCHANTMENT_CAYENNE_1,ENCHANTMENT_CAYENNE_1,0.0,0,0,0,0.0,0,0,0,0.0
FLAMES,FLAMES,35870.799447174446,33339,9673,73,61752.2403508772,2438,8172,58,48811.51989902582
ENCHANTMENT_ENDER_SLAYER_1,ENCHANTMENT_ENDER_SLAYER_1,0.0,0,0,0,0.0,0,0,0,0.0
ULTIMATE_CARROT_CANDY,ULTIMATE_CARROT_CANDY,2467666.405504587,2241,678,35,2749981.8,479,14866,14,2608824.1027522935
HONEY_JAR,HONEY_JAR,4258.310314015828,157607,89268,58,11999.25,82,80623,11,8128.780157007914
PET_CAKE,PET_CAKE,14599.1,3472,5125,21,54876.288235294116,1353,5243,253,34737.69411764706
SOLAR_PANEL,SOLAR_PANEL,268933.2,3784,699,66,399997.3,481,367,27,334465.25
SHARD_DODO,SHARD_DODO,1109117.223255814,983,353,24,1361746.9727477478,21721,2328,231,1235432.098001781
SHARD_BITBUG,SHARD_BITBUG,3300002.4074999997,968,2966,12,3614992.811538462,19010,4490,372,3457497.609519231
